song,track_id,release_date,song_popularity,duration(ms),explicit,artist_name,artist_id,artist_follower_no,artist_genres,artist_popularity
Teutonic Terror,3crIa21lfjekujCQuGjlJT,2010-08-20,58,313586,False,Accept,3JDIAtVrJdQ7GFOX26LYpv,779675,"['album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']",58
The Sign,0hrBpAOgrt8RXigk83LLNE,1993-12-24,72,191240,False,Ace Of Base Tribute,5AaeSySGHvppZl7azXOrLl,167,,1
Night Moves,6UBjSnyP1O5W5ndJoO9vUk,1976-10-22,72,324422,False,Acoustic Bob Seger,1au7efBmkAcR8bnkTJm6Dx,393,,3
Johnny Belinda,6ZAgDTnMmQCT5BftTVL7w2,2011-08-23,34,304733,False,Active Child,54KTsBl98buzGkELjGlnuU,108357,"['chillwave', 'dream pop', 'metropopolis']",41
Famous,1m8Vr5xZ80ALZS42c5YJsD,2020-04-17,61,186960,False,Adam Doleac,4NsVVzuaZGk4aya8Pyacew,43888,"['contemporary country', 'country pop']",56
Ghost Town,44aN5xKL3kGHvQ5bXVk6B8,2015-06-11,66,208330,True,Adam Lambert,6prmLEyn4LfHlD9NnXWlf7,1351245,"['dance pop', 'idol', 'pop', 'post-teen pop']",61
No One Else Like You,6CdV33i2ztlvFheXGz4Huc,2014-07-01,54,208426,False,Adam Levine,4bYPcJP5jwMhSivRcqie2n,955463,['deep talent show'],71
Lost Stars,7rdGrVIoqwPWOULauvglio,2014-06-23,59,267933,False,Adam Levine,4bYPcJP5jwMhSivRcqie2n,955463,['deep talent show'],71
Lovesong,7nm6DlSzzJTH1rk2e6EgJz,2011-01-24,57,316240,False,Adele,4dpARuHxo51G3z768sgnrY,40573674,"['british soul', 'pop', 'pop soul', 'uk pop']",84
Chasing Pavements,56pHllZT7QOacB0bP56ofx,2008-01-28,70,210506,False,Adele,4dpARuHxo51G3z768sgnrY,40573674,"['british soul', 'pop', 'pop soul', 'uk pop']",84
Someone Like You,1zwMYTA5nlNjZxYrvBB2pV,2011-01-24,79,285240,False,Adele Adkins,6HZ5IH5ksF7cs4mg0HQlSN,1702,,14
Rolling in the Deep,1c8gk2PeTE04A1pIDH9YMk,2011-01-24,79,228093,True,Adele Smooth Soul,4XFwASLyA1n2AfsgU7f2y2,8,,0
Water Prayer Rasta mix ( Matt the Alien Remix ),1wjqK886ncl5DF0CjIVjeH,2012-07-18,33,241893,False,Adham Shaikh,5jYKOT6F4yFRxLripcUnRu,9598,"['psychill', 'psydub', 'world fusion']",30
Georgia,4C7yk5VraGyg2zgI0Ru450,2019-01-02,18,218484,True,Adjust the Sails,4xVPBr0C8OxqJL4796EZzr,11979,,28
Overthinking,5ACfFPkUWPUQp3EVUNbMD8,2017-03-17,34,235144,False,Adna,1pduOlnYE5rd4VChXbeU8g,34904,"['indie folk', 'swedish indie pop']",37
Teenage Crime - Radio Edit,3WeOzaQI5ukIzBOiHv3TWh,2012-04-03,45,168920,False,Adrian Lux,5kp9Qhzri9LrDkzrtjt5Sh,124644,"['edm', 'progressive electro house']",43
La Meg Leve,2z054TcxQSHH9YCrhLK0vk,2019-02-15,29,164750,False,Adrian Sellevoll,7A3fefmffBi6jDv2MxMcz3,12444,"['norwegian pop', 'norwegian pop rap']",40
Ha Meg,0XKNC63BQXyUVhHSVEbXEO,2018-11-09,40,183314,False,Adrian Sellevoll,7A3fefmffBi6jDv2MxMcz3,12444,"['norwegian pop', 'norwegian pop rap']",40
Night Mist,1C2gmVNoLyUd1RvR51sFds,2011-10-21,39,1211200,False,Adrian Von Ziegler,6qDQ6rJG5TOT7PppxBKhqI,134379,"['dungeon synth', 'medieval folk']",49
Prisencolinensinainciusol,05JZ5FjuflMEY9uq5ogBYF,1992,47,229067,False,Adriano Celentano,1yq9UuPp5DIb5w6eswGbKV,682344,"['classic italian pop', 'italian adult pop']",57
Floats My Boat,2xH94bp1TPSMPPPnnSwIGL,2012-07-30,61,206160,True,Aer,25hbSOMmbhgqvonjC876UJ,137002,"['indie pop rap', 'pop rap']",51
